time,open,high,low,close,tick_volume
2025-02-25 11:00:00,1.0473,1.04897,1.04714,1.04893,2425
2025-02-25 12:00:00,1.04893,1.05002,1.04884,1.04937,3213
2025-02-25 13:00:00,1.04938,1.05096,1.04935,1.05003,3023
2025-02-25 14:00:00,1.05005,1.0505,1.0492,1.05025,3388
2025-02-25 15:00:00,1.05024,1.05192,1.04951,1.04985,4452
2025-02-25 16:00:00,1.04987,1.0506,1.04947,1.0498,3646
2025-02-25 17:00:00,1.0498,1.05022,1.04841,1.05022,2627
2025-02-25 18:00:00,1.05022,1.05182,1.05021,1.05087,2358
2025-02-25 19:00:00,1.05087,1.05127,1.05046,1.05105,2147
2025-02-25 20:00:00,1.05105,1.0519,1.05091,1.05165,2007
2025-02-25 21:00:00,1.05163,1.05177,1.05131,1.05141,988
2025-02-25 22:00:00,1.05139,1.05146,1.05117,1.05138,762
2025-02-25 23:00:00,1.0514000000000001,1.05228,1.05127,1.05204,894
2025-02-26 00:00:00,1.05206,1.05249,1.05198,1.05227,1187
2025-02-26 01:00:00,1.05227,1.05236,1.05142,1.05155,1920
2025-02-26 02:00:00,1.05154,1.05172,1.05044,1.05066,1815
2025-02-26 03:00:00,1.05066,1.05088,1.05015,1.05046,1344
2025-02-26 04:00:00,1.05046,1.05056,1.04969,1.04975,969
2025-02-26 05:00:00,1.04975,1.04985,1.04905,1.04916,1382
2025-02-26 06:00:00,1.04916,1.04964,1.04873,1.04945,1571
2025-02-26 07:00:00,1.04948,1.05016,1.04926,1.04939,2909
2025-02-26 08:00:00,1.04939,1.05115,1.04916,1.05025,3420
2025-02-26 09:00:00,1.05025,1.05034,1.04947,1.04973,2532
2025-02-26 10:00:00,1.04973,1.0501,1.04913,1.04979,2505
2025-02-26 11:00:00,1.04976,1.05021,1.04867,1.04915,2297
2025-02-26 12:00:00,1.04913,1.0495,1.0475,1.0477,2644
2025-02-26 13:00:00,1.04768,1.04946,1.04767,1.04843,3149
2025-02-26 14:00:00,1.04843,1.04926,1.04824,1.049,3881
2025-02-26 15:00:00,1.04899,1.05091,1.04795,1.05058,4723
2025-02-26 16:00:00,1.0506,1.05156,1.05022,1.05137,3604
2025-02-26 17:00:00,1.05135,1.05288,1.04834,1.04925,8190
2025-02-26 18:00:00,1.04923,1.05005,1.04851,1.04882,3746
2025-02-26 19:00:00,1.04881,1.04935,1.0482,1.04912,2713
2025-02-26 20:00:00,1.04911,1.04911,1.04809,1.0486,1745
2025-02-26 21:00:00,1.04858,1.04882,1.04786,1.04848,1159
2025-02-26 22:00:00,1.04839,1.04872,1.04832,1.04871,646
2025-02-26 23:00:00,1.04873,1.04926,1.04858,1.04881,695
2025-02-27 00:00:00,1.04881,1.04881,1.0477,1.04776,1334
2025-02-27 01:00:00,1.04776,1.04833,1.04731,1.04786,1618
2025-02-27 02:00:00,1.04785,1.04807,1.04705,1.04712,1565
2025-02-27 03:00:00,1.0471,1.04745,1.04649,1.04658,1165
